region,event,phase,source_file,match_id,match_label,game,map,map_mode,map_winner,map_score,team_1,team_2,match_winner,match_loser,ban_stage,ban_team,banned_hero,received_team,ban_note
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_3,2026-03-21 Match 3,2,Havana,Escort,Crazy Raccoon,score 1:3,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,initial,ZAN Esports,Sigma,Crazy Raccoon,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_3,2026-03-21 Match 3,2,Havana,Escort,Crazy Raccoon,score 1:3,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,follow_up,Crazy Raccoon,Vendetta,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_3,2026-03-21 Match 3,3,Esperanca,Push,ZAN Esports,distance 129.75m : 60.23m,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,initial,ZAN Esports,Zarya,Crazy Raccoon,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_3,2026-03-21 Match 3,3,Esperanca,Push,ZAN Esports,distance 129.75m : 60.23m,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,follow_up,Crazy Raccoon,Brigitte,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_3,2026-03-21 Match 3,4,Midtown,Hybrid,Crazy Raccoon,score 1:3,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,initial,Crazy Raccoon,Sojourn,ZAN Esports,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_21_match_3,2026-03-21 Match 3,4,Midtown,Hybrid,Crazy Raccoon,score 1:3,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,follow_up,ZAN Esports,D.Va,Crazy Raccoon,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_1,2026-03-22 Match 1,1,Busan,Control,Poker Face,score 2:0,Poker Face,New Era,Poker Face,New Era,initial,New Era,Lucio,Poker Face,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_1,2026-03-22 Match 1,1,Busan,Control,Poker Face,score 2:0,Poker Face,New Era,Poker Face,New Era,follow_up,Poker Face,Orisa,New Era,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_1,2026-03-22 Match 1,2,Rialto,Escort,Poker Face,score 3:0,Poker Face,New Era,Poker Face,New Era,initial,New Era,Wuyang,Poker Face,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_1,2026-03-22 Match 1,2,Rialto,Escort,Poker Face,score 3:0,Poker Face,New Era,Poker Face,New Era,follow_up,Poker Face,Vendetta,New Era,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_1,2026-03-22 Match 1,3,Midtown,Hybrid,Poker Face,score 3:0,Poker Face,New Era,Poker Face,New Era,initial,New Era,Kiriko,Poker Face,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_1,2026-03-22 Match 1,3,Midtown,Hybrid,Poker Face,score 3:0,Poker Face,New Era,Poker Face,New Era,follow_up,Poker Face,Cassidy,New Era,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_2,2026-03-22 Match 2,1,Busan,Control,ONSIDE GAMING,score 2:0,ONSIDE GAMING,T1,ONSIDE GAMING,T1,initial,ONSIDE GAMING,Cassidy,T1,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_2,2026-03-22 Match 2,1,Busan,Control,ONSIDE GAMING,score 2:0,ONSIDE GAMING,T1,ONSIDE GAMING,T1,follow_up,T1,Zarya,ONSIDE GAMING,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_2,2026-03-22 Match 2,2,Rialto,Escort,T1,score 0:1,ONSIDE GAMING,T1,ONSIDE GAMING,T1,initial,T1,Vendetta,ONSIDE GAMING,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_2,2026-03-22 Match 2,2,Rialto,Escort,T1,score 0:1,ONSIDE GAMING,T1,ONSIDE GAMING,T1,follow_up,ONSIDE GAMING,Wuyang,T1,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_2,2026-03-22 Match 2,3,Aatlis,Flashpoint,T1,score 0:3,ONSIDE GAMING,T1,ONSIDE GAMING,T1,initial,ONSIDE GAMING,Sojourn,T1,
Korea,OWCS Korea 2026 Stage 1,Week 1,OWCS_KOREA_2026_WEEK1_RESULTS.md,korea_2026_03_22_match_2,2026-03-22 Match 2,3,Aatlis,Flashpoint,T1,score 0:3,ONSIDE GAMING,T1,ONSIDE GAMING,T1,follow_up,T1,Mauga,ONSIDE GAMING,
